Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
145,واثار,وميراث,والاسم,العلم,باعث,طاعتي,ويكون,العقب,وصدقوه,النبوه,36,30,17,
146,سنه,وستين,لمضي,وعاش,تسعماه,عاش,للطوفان,وتسعا,وخمسا,وثلاثين,36,26,21,
147,الكف,يجرمنكم,شقاقي,يصيبكم,وشبك,قتلتموني,اصابعه,اصاب,تقتلوني,ابدا,36,36,26,
148,الطرسوسي,الطباع,الخصيب,حمدان,سمعت,البزاز,القاضي,جعفر,عيسي,بمصر,35,35,20,
149,السفن,المشحون,يركبون,وخلقنا,ذريتهم,الفلك,سفينه,المملو,الابا,ذرياتهم,35,33,30,
150,ثنا,قط,سرار,مجشر,القدوس,الجرمي,الجنديسابوري,عه,سيف,حديث,35,35,18,
151,وولد,وفارس,والروم,والترك,والخير,والبربر,فيهم,والسودان,فولد,ياجوج,35,30,30,
152,وابا,ومحمد,وابو,واحمد,الجنديسابوري,وعبد,محمد,بكر,احمد,البغدادي,35,34,10,
153,الروح,القلب,الصوفيه,الطبيعه,انصارهم,الرفيعه,الدرجه,وصفاتها,النفس,لنزل,34,29,16,
154,تذرن,الهتكم,سواعا,ودا,يغوث,ونسرا,ويعوق,كبارا,ومكروا,خسارا,34,33,32,
155,اسرايل,واسماعيل,ويعقوب,وشعيب,وهود,ولوط,وصالح,وعيسي,واسحاق,وابراهيم,34,33,31,
156,بقدر,وبنين,فانشرنا,ميتا,السما,البسط,المطر,والذي,بلده,ايحسبون,34,34,22,
157,عام,الاباضيه,الازهار,الارجوزه,فقره,النسخه,نسخه,ترجمته,المتوفي,طيماثاوس,34,33,23,
158,واعرفهم,امتك,الامم,فاعرف,محجلون,بايمانهم,غر,الوضو,يتون,كتبهم,33,33,27,
159,الموتي,عازر,باذني,باذن,احيا,كففت,العجوز,حيا,والابرص,صديقا,33,33,32,
160,اوحينا,تكليمه,حجاب,تكليما,والنبيين,الوحي,ورا,وكلم,اليك,التكليم,33,33,20,
161,وحديث,صلاه,وامير,والمشهد,المشاهد,فرادي,زار,المنسوب,ثواب,فتلخص,33,31,32,
162,كم,قرون,امامه,عشره,انبي,سلام,بينه,نعم,مكلم,رجلا,33,31,26,Hadith (mostly) - how many Prophets between Noah and Muhammad
163,مترفيها,ففسقوا,خبيرا,اردنا,بربك,فدمرناها,بذنوب,وكم,اهلكنا,بصيرا,33,33,31,
164,الوفاه,وعنه,توفي,البغدادي,وجماعه,نزيل,صدوق,معبد,ثقه,الصغير,33,33,11,
165,مرض,الاطبا,وتصدقت,اغراض,فسالته,الفقرا,وشاركتهم,بخدمته,شكرا,الوقت,33,33,26,
166,قتل,الجن,الليله,قبض,لجاريتها,منذ,اخرجي,جنيه,تنوح,فاخبرت,33,32,31,
167,والنوبه,والزنج,والهند,وياجوج,اولاد,والروم,والحبشه,وماجوج,والسند,حام,33,31,26,
168,فاسقا,غراب,الغراب,البين,لخروجها,لتخلفه,سمي,ارسله,جحرها,الفاره,32,31,25,
169,فوقكم,ارجلكم,تحت,عذابا,القادر,بقارون,يلبسكم,شيعا,يبعث,الفيل,32,32,29,
170,منتصرين,استطاعوا,ممتنعين,قيام,واهلكنا,وقوم,فاسقين,الذاريات,كانوا,العذاب,32,32,32,
171,وانه,الشعري,واقني,اغني,فغشاها,النشاه,اهوي,والمتفكه,غشي,تتماري,32,32,31,
172,اعبدوا,واتقوه,لكم,اتقوا,ذلكم,لقومه,وارسلنا,وحدوا,تعبدون,تعلمون,32,31,25,
173,الريس,بخاري,بلخ,سينا,افشنه,الكركي,وتزوج,كرك,الشيخ,العالي,32,25,26,
174,مجالسهم,انصابا,انصبوا,يجلسون,وسموها,ففعلوا,باسماهم,هلكوا,تعبد,عبدت,32,32,29,
175,حرمت,الينا,لحوم,والبانها,انتهي,اليهود,حلا,الابل,حلالا,نحرمه,32,32,28,
176,قبره,شاب,فدعا,الاعظم,فعاشت,فخرج,راسه,وولد,قامت,يشيبون,31,31,30,
177,بيتي,تخلف,نجا,ركبها,عنها,بايهم,كالنجوم,فيكم,اقتديتم,واله,31,30,29,Hadith - popular with Shi'i authors? - comparing ahl bayt to Noah's ark - Ismaili texts
178,عادا,ابقي,الاولي,النجم,اهلك,اظلم,وثمود,واطغي,هلاكا,القدما,31,30,30,
179,محاربتهم,مشاغيل,يستحل,فاعلمهم,الوقوف,باكل,متجره,لارباهم,بخساسه,خساسه,31,30,19,
180,سلام,الصافات,وتركنا,ال,ياسين,وهارون,العالمين,وسلام,الاخرين,يقل,31,30,27,
181,وامرت,اكون,سالتكم,المسلمين,توليتم,اجر,اجري,يرغب,مله,الاسلام,31,29,19,Different religious groups and Noah
182,بكتابه,البرقي,واحمد,كتاب,الحسين,روي,بطه,وكتاب,اصحابنا,محمد,31,29,7,
183,نسخر,تسخرون,سخروا,تسخروا,ملا,فانا,نجارا,منا,وكلما,يتضاحكون,31,28,27,
184,ملاكه,لانزل,سمعنا,جنه,فتربصوا,جنون,ابانا,يتفضل,متبوعا,يدعونا,31,30,27,
185,وسنه,زار,الاولين,عرشه,الاربعه,فمحمد,اين,الاخرين,واربعه,زوار,31,31,27,
186,بعدد,الاجر,حسنات,صدق,وبعدد,وكذب,وشعيب,وصدق,بمحمد,وصالح,31,30,19,
187,الاستسقا,غفارا,استغفروا,مدرارا,يرسل,ربكم,الاستغفار,استسقي,السما,بالاستغفار,31,31,30,
188,امراه,لوط,تخبر,وامراه,ومريم,مجنون,تدل,فخانتاهما,خيانتهما,خيانه,30,29,26,
189,اصطفاك,ابيكم,اشفع,يلجمهم,لقيتم,والعرق,فينطلقون,وال,واستجاب,لقيت,30,29,30,
190,فاستخرج,حريره,العينين,سودا,بابا,صوره,بيضا,اللحيه,ضخم,تعرفون,30,30,23,
191,والزيتون,التين,مسجد,المقدس,دمشق,بيت,ايليا,جبلان,الجبل,سينين,30,30,30,
192,ياتيكم,تعدنا,فاتنا,فاكثرت,الصادقين,جدالنا,جادلتنا,بمعجزين,شا,انتم,30,29,23,
193,ثقه,وسالته,سالت,وسالت,فقال,قلت,داود,باس,ابا,وسمعت,30,27,13,
194,فاوحي,تذر,القصه,رب,مجنونا,ديارا,الفلك,اصنع,واجدادنا,الكافرين,29,29,23,
195,الصاحب,ريس,وبنو,مقاليد,سيمجور,السر,الرسال,اجانه,اعتذرت,لطايه,29,27,18,
196,صدره,يرد,للاسلام,يهديه,يضله,يشرح,حرجا,ضيقا,يغويكم,يريد,28,27,16,
197,الرس,واصحاب,واخوان,وفرعون,الايكه,قبلهم,كذبت,تبع,الخروج,وعيد,28,27,27,
198,حرم,ولذريتك,تاكلوه,واطلقت,ماكلا,العشب,كنبات,خروجه,خلا,دابه,28,28,27,
199,يجدوا,انصارا,ديارا,خطياتهم,دون,نارا,تذر,اغرقوا,فادخلوا,احدا,28,27,27,
200,ذكرك,توضا,قطع,واغسل,وعند,نم,اغسل,الاصيلي,بوضو,الوضو,28,28,20,
201,وسمع,وابي,سماعا,جهضم,المقدسي,وصحب,وزينب,واربعماه,البطي,بندار,28,28,18,
202,الجرح,التهذيب,والتعديل,تهذيب,رقم,الكمال,التقريب,الثقات,كني,الكبير,28,25,13,
203,غار,تابوت,قبيس,الكنز,حوا,الغار,رده,وكبر,ادم,ببيت,28,26,26,
204,نادانا,واهله,الكرب,المخلصين,ونجيناه,المجيبون,فلنعم,العظيم,الصافات,ولقد,27,27,23,
205,وينث,للادميين,التانيث,لفظها,الجموع,ينصرف,ونفر,اسما,قويم,الصرف,27,27,24,
206,اطمس,اموالهم,واشدد,ربنا,الرجلين,قلوبهم,اخوه,قولكم,فخرج,هذين,27,27,27,
207,العدد,الصيغه,اخصر,المده,وافيه,كابده,المصابره,مسوقه,تسعماه,واوصل,27,27,26,
208,يمسي,عقرب,التامات,بكلمات,تلدغه,اعوذ,شر,العقرب,الحيه,حين,27,25,24,
209,الحمي,الاسد,فسلط,تطمن,حمي,يقرب,بيوم,ياكل,شكوا,السفينه,27,25,17,
210,بصار,اتينا,اهلكنا,للناس,القرون,وهدي,ولقد,ورحمه,القري,يتذكرون,27,27,22,
211,صبر,اذي,الذبح,والسجن,وذهاب,سته,المذكورون,ويوسف,واسحاق,هم,27,27,26,
212,قصب,الفار,المعبرين,نعالج,هذذا,العنب,يموت,جبهه,راي,الحواج,27,26,20,
213,تمتعوا,فعتوا,كالرميم,ينظرون,فاسقين,جعلته,منتصرين,استطاعوا,الصاعقه,اتت,27,27,26,
