Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
187,36,الملاءكة,نكص,جند,انسيتم,1,17,,17.0,,,,
539,10,الملاهي,نالهم,سلع,شمله,2,9,1.0,,,,8.0,
480,12,المنام,حكيما,حرفين,كتبت,3,7,2.0,4.0,,1.0,,
200,32,المنبر,السميع,الركوع,الثانية,4,14,2.0,,3.0,5.0,4.0,
548,10,المنذر,الاشاهب,النعمان,عدي,3,6,2.0,3.0,,1.0,,
89,77,المهدي,اليسع,سجلماسة,الاغلب,3,33,16.0,,11.0,6.0,,
541,10,المهدي,بالقوس,الخارجي,السور,3,4,2.0,,1.0,1.0,,
272,24,المهدي,شككنا,نعتقد,بالايات,3,11,8.0,,2.0,1.0,,
310,21,النساء,القمصان,اكمام,منجك,4,8,1.0,,1.0,2.0,4.0,
94,75,النصاري,العماءم,اليهود,الزرق,4,32,4.0,,2.0,9.0,17.0,
413,14,النصاري,الوالي,دين,البغل,2,10,,,,3.0,7.0,
220,29,النصاري,نهب,واخرجوا,وانتهاك,4,24,1.0,,5.0,8.0,10.0,
321,20,النفير,فاقتتلوا,مستعدين,المهدية,4,13,8.0,,3.0,1.0,1.0,
119,60,النوبة,بلد,الناحية,الجنادل,1,28,,,,28.0,,
443,13,النوبة,قوص,طقصبا,متظلما,3,8,2.0,,,1.0,5.0,
410,14,النوشري,باللوم,عبيده,فرجع,3,7,4.0,,2.0,1.0,,
151,46,النيل,اصابع,ذراعا,اصبعا,2,42,,,3.0,,39.0,
32,174,اله,المهديين,واشهد,العالمين,6,56,22.0,8.0,12.0,12.0,4.0,1.0
28,194,الهواء,النيل,ارض,الابدان,2,43,,,,42.0,,1.0
1,3437,الوافي,ترجمة,المخطوط,الدرر,5,457,359.0,2.0,1.0,3.0,,94.0
317,20,الياس,نمروذ,المطر,السجن,3,11,3.0,1.0,,7.0,,
193,35,اليقين,المعجز,معارضته,تعالي,2,25,,19.0,,6.0,,
33,169,اليه,له,فقال,منك,4,110,70.0,,20.0,12.0,10.0,
212,29,ام,بنت,كلثوم,شريك,2,4,1.0,3.0,,,,
348,18,امتك,وجعلت,ونذيرا,وجعلتك,1,6,,6.0,,,,
504,11,امراء,السيفي,وبلبان,الكوندكي,2,11,1.0,,,,10.0,
465,12,انج,اللهم,وطاتك,نج,1,4,,4.0,,,,
201,32,انجيل,المسيح,الانجيل,الاناجيل,3,15,,12.0,,2.0,1.0,
45,127,انس,حديث,الدباء,اتي,1,67,,67.0,,,,
377,16,اوله,ثالثه,المناخ,يلخجا,2,15,,,2.0,,13.0,
248,26,ايده,فالامة,المناصحة,توجب,2,11,7.0,,,4.0,,
458,12,ايدي,بانه,الحصون,حصون,2,3,1.0,,2.0,,,
510,10,بالتهديد,اربابها,عشاء,الخفراء,4,10,2.0,,1.0,5.0,2.0,
304,21,بالرحيل,رسول,الوبر,نجوت,2,19,1.0,18.0,,,,
138,52,بالرعب,الكلم,ونصرت,قبلي,1,15,,15.0,,,,
383,16,بالضرورة,الصديق,معلوما,للفسق,1,7,,7.0,,,,
71,93,بالطويل,العينين,شثن,بالقصير,1,28,,28.0,,,,
252,25,بالقلم,الموقع,فيوقع,الدقيق,2,13,,,4.0,9.0,,
97,73,بالناس,تبارك,وتعالي,فليصل,1,41,,41.0,,,,
264,24,بامرة,وعلي,السيفي,نوبة,1,20,,,,,20.0,
476,12,ببعلبك,تورانشاه,الصالح,فحاصرها,2,11,,,,2.0,9.0,
246,26,ببيكارية,ودون,ورءوسها,الرتبة,1,9,,,,9.0,,
102,70,بحقن,دمه,اليازوري,عبادة,4,55,17.0,,5.0,9.0,24.0,
553,10,بحوانيتها,عباه,وتركاشه,زينت,3,9,2.0,,,1.0,6.0,
355,17,بحيرا,القوم,الشجرة,طعامي,1,4,,4.0,,,,
537,10,بداة,حيها,خريطة,شاعرة,4,8,2.0,1.0,,4.0,1.0,
414,14,بدرجك,الخطيري,رفق,ماله,4,13,7.0,,1.0,1.0,4.0,
302,21,بدلة,حريري,مذهبة,لكل,1,6,,,,6.0,,
547,10,برجوان,فهد,القصر,القاءد,4,9,3.0,,2.0,2.0,2.0,
92,76,برسم,قنطارا,القصور,الاسمطة,3,33,7.0,,3.0,23.0,,
198,33,بزغش,هزار,المعظم,منكوتمر,4,22,11.0,,1.0,2.0,8.0,
425,14,بشبين,وتفقه,شيخان,وسمع,2,14,13.0,,,,1.0,
436,13,بشتاك,طشتمر,المماليك,السلطانية,1,11,,,,,11.0,
39,143,بطرك,اليعاقبة,فاقام,بطركا,3,37,,2.0,,32.0,3.0,
493,11,بقرطبة,قرطبة,وقتيل,العددي,1,11,11.0,,,,,
473,12,بلادكم,البجة,وعليكم,المسلمين,1,3,,,,3.0,,
125,57,بلبان,اقوش,سيف,بكتوت,3,13,9.0,,,,1.0,3.0
404,14,بمشاورة,فتوكل,عزمت,الراي,1,4,,4.0,,,,
4,930,بنت,الحارث,كعب,عمرو,5,369,111.0,256.0,2.0,12.0,2.0,
237,27,بنت,ام,زوجة,خاتون,1,3,3.0,,,,,
122,58,بنت,فاطمة,زينب,عاتكة,1,4,,4.0,,,,
261,25,بنو,ذبيان,محارب,الحشحاش,1,1,,1.0,,,,
109,65,بيروت,تحقيق,العلمية,دار,2,11,,10.0,,,,1.0
132,55,بيصر,الطوفان,مصرايم,حام,3,35,,1.0,,30.0,,4.0
555,10,بينجار,كراي,اينبك,للحرب,2,8,2.0,,,,6.0,
358,17,تاخذ,جدعان,ومنوف,خولان,3,10,5.0,3.0,,2.0,,
67,96,تبارك,وتعالي,رضي,عنهما,1,50,,50.0,,,,
167,42,تبارك,وتعالي,عاءشة,رضي,1,32,,32.0,,,,
382,16,تراعوا,فزع,وجدناه,فرسا,1,8,,8.0,,,,
